#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2011 03 11 16 24 00 2 5465.753
2011 03 11 16 23 00 2 5465.741
2011 03 11 16 22 00 2 5465.721
2011 03 11 16 21 00 2 5465.711
2011 03 11 16 20 00 2 5465.710
2011 03 11 16 19 00 2 5465.724
2011 03 11 16 18 00 2 5465.686
2011 03 11 16 17 00 2 5465.687
2011 03 11 16 16 00 2 5465.707
2011 03 11 16 15 00 2 5465.713
2011 03 11 16 15 00 1 9999.000
2011 03 11 16 14 00 2 5465.712
2011 03 11 16 13 00 2 5465.729
2011 03 11 16 12 00 2 5465.750
2011 03 11 16 11 00 2 5465.748
2011 03 11 16 10 00 2 5465.739
2011 03 11 16 09 00 2 5465.725
2011 03 11 16 08 00 2 5465.729
2011 03 11 16 07 00 2 5465.708
2011 03 11 16 06 00 2 5465.729
2011 03 11 16 05 00 2 5465.732
2011 03 11 16 04 00 2 5465.748
2011 03 11 16 03 00 2 5465.760
2011 03 11 16 02 00 2 5465.720
2011 03 11 16 01 00 2 5465.744
2011 03 11 16 00 00 2 5465.736
2011 03 11 16 00 00 1 9999.000
2011 03 11 15 59 00 2 5465.711
2011 03 11 15 58 00 2 5465.720
2011 03 11 15 57 00 2 5465.713
2011 03 11 15 56 00 2 5465.706
2011 03 11 15 55 00 2 5465.713
2011 03 11 15 54 00 2 5465.694
2011 03 11 15 53 00 2 5465.679
2011 03 11 15 52 00 2 5465.711
2011 03 11 15 51 00 2 5465.718
2011 03 11 15 50 00 2 5465.697
2011 03 11 15 49 00 2 5465.693
2011 03 11 15 48 00 2 5465.706
2011 03 11 15 47 00 2 5465.730
2011 03 11 15 46 00 2 5465.736
2011 03 11 15 45 00 2 5465.722
2011 03 11 15 45 00 1 9999.000
2011 03 11 15 44 00 2 5465.687
2011 03 11 15 43 00 2 5465.700
2011 03 11 15 42 00 2 5465.689
2011 03 11 15 41 00 2 5465.664
2011 03 11 15 40 00 2 5465.707
2011 03 11 15 39 00 2 5465.711
2011 03 11 15 38 00 2 5465.674
2011 03 11 15 37 00 2 5465.691
2011 03 11 15 36 00 2 5465.700
2011 03 11 15 35 00 2 5465.706
2011 03 11 15 34 00 2 5465.709
2011 03 11 15 33 00 2 5465.690
2011 03 11 15 32 00 2 5465.695
2011 03 11 15 31 00 2 5465.709
2011 03 11 15 30 00 2 5465.715
2011 03 11 15 30 00 1 9999.000
2011 03 11 15 29 00 2 5465.720
2011 03 11 15 28 00 2 5465.714
2011 03 11 15 27 00 2 5465.704
2011 03 11 15 26 00 2 5465.692
2011 03 11 15 25 00 2 5465.690
2011 03 11 15 24 00 2 5465.700
2011 03 11 15 23 00 2 5465.715
2011 03 11 15 22 00 2 5465.704
2011 03 11 15 21 00 2 5465.722
2011 03 11 15 20 00 2 5465.726
2011 03 11 15 19 00 2 5465.709
2011 03 11 15 18 00 2 5465.693
2011 03 11 15 17 00 2 5465.660
2011 03 11 15 16 00 2 5465.653
2011 03 11 15 15 00 2 5465.661
