Model Comment
Strike: 202.00 Dip: 12.00 HypocenterDepth: 25.95
RuptureSpeed: 0.00
nx: 40 xMin: -0.00 xMax: 600.00
ny: 14 yMin: -0.00 yMax: 210.00
MomentScaleFactor: 1.0e19 N-m
minMoment: 0.000 maxMoment: 31.910
TotalMoment: 3635.947 Mw: 8.98
minDelayTime: 0.000 maxDelayTime: 0.000
nTimeStepsPerSubFault: 1 BasisTFtnDuration: 0.00
Trupture(s) X Y Lon Lat Depth Mo(DS) Mo(SS) Mo(total) Rake Duration(s)
129.2 240.00  90.00   142.335   35.983    7.2    1.489    0.130    1.495    85  40.0
134.8 255.00  90.00   142.276   35.857    7.2    2.405    0.210    2.415    85  40.0
140.5 270.00  90.00   142.217   35.731    7.2    2.749    0.241    2.759    85  40.0
146.2 285.00  90.00   142.158   35.605    7.2    2.705    0.237    2.715    85  40.0
152.0 300.00  90.00   142.099   35.479    7.2    2.386    0.209    2.396    85  36.0
157.7 315.00  90.00   142.040   35.353    7.2    1.288    0.113    1.293    85  36.0
163.5 330.00  90.00   141.981   35.226    7.2    0.209    0.018    0.210    85  32.0
169.3 345.00  90.00   141.923   35.100    7.2    0.000    0.000    0.000     0  36.0
175.1 360.00  90.00   141.865   34.974    7.2    0.000    0.000    0.000     0  36.0
180.9 375.00  90.00   141.807   34.848    7.2    0.000    0.000    0.000     0  36.0
186.8 390.00  90.00   141.749   34.722    7.2    0.000    0.000    0.000     0  36.0
192.6 405.00  90.00   141.691   34.595    7.2    0.000    0.000    0.000     0  36.0
104.7 -180.00  75.00   143.924   39.547   10.4    2.893    0.253    2.904    85  40.0
 99.2 -165.00  75.00   143.859   39.422   10.4    0.603    0.053    0.606    85  40.0
 93.7 -150.00  75.00   143.793   39.297   10.4    0.000    0.000    0.000     0  40.0
 88.4 -135.00  75.00   143.728   39.172   10.4    0.319    0.028    0.320    85  40.0
 83.3 -120.00  75.00   143.664   39.047   10.4    1.710    0.150    1.717    85  40.0
 78.3 -105.00  75.00   143.599   38.921   10.4    3.673    0.321    3.687    85  40.0
 73.5 -90.00  75.00   143.535   38.796   10.4    8.313    0.727    8.345    85  40.0
 69.1 -75.00  75.00   143.471   38.671   10.4   11.801    1.032   11.846    85  40.0
 64.0 -60.00  75.00   143.407   38.546   10.4   16.071    1.406   16.132    85  40.0
 58.3 -45.00  75.00   143.344   38.420   10.4   20.659    1.807   20.738    85  40.0
 53.9 -30.00  75.00   143.280   38.295   10.4   24.404    2.135   24.497    85  32.0
 51.0 -15.00  75.00   143.217   38.169   10.4   26.040    2.278   26.139    85  36.0
 50.0   0.00  75.00   143.154   38.044   10.4   26.979    2.360   27.082    85  24.0
 51.0  15.00  75.00   143.091   37.918   10.4   25.294    2.213   25.391    85  20.0
 53.9  30.00  75.00   143.029   37.793   10.4   22.779    1.993   22.866    85  20.0
 58.3  45.00  75.00   142.967   37.667   10.4   20.899    1.828   20.979    85  20.0
 64.0  60.00  75.00   142.904   37.542   10.4   18.346    1.605   18.416    85  20.0
 69.1  75.00  75.00   142.843   37.416   10.4   16.170    1.415   16.232    85  20.0
 73.5  90.00  75.00   142.781   37.290   10.4   14.959    1.309   15.016    85  20.0
 78.3 105.00  75.00   142.719   37.165   10.4   13.166    1.152   13.216    85  40.0
 83.3 120.00  75.00   142.658   37.039   10.4   10.579    0.926   10.619    85  40.0
 88.4 135.00  75.00   142.597   36.913   10.4    8.995    0.787    9.030    85  40.0
 93.7 150.00  75.00   142.536   36.787   10.4    7.256    0.635    7.284    85  40.0
 99.2 165.00  75.00   142.476   36.661   10.4    6.286    0.550    6.310    85  40.0
104.7 180.00  75.00   142.415   36.536   10.4    4.876    0.427    4.895    85  40.0
110.2 195.00  75.00   142.355   36.410   10.4    3.627    0.317    3.641    85  40.0
115.9 210.00  75.00   142.295   36.284   10.4    2.316    0.203    2.325    85  40.0
121.5 225.00  75.00   142.235   36.158   10.4    2.397    0.210    2.406    85  40.0
127.2 240.00  75.00   142.175   36.032   10.4    2.477    0.217    2.486    85  40.0
133.0 255.00  75.00   142.116   35.906   10.4    2.429    0.213    2.438    85  40.0
138.8 270.00  75.00   142.057   35.780   10.4    2.830    0.248    2.840    85  40.0
144.5 285.00  75.00   141.997   35.654   10.4    2.649    0.232    2.659    85  40.0
150.4 300.00  75.00   141.939   35.528   10.4    2.060    0.180    2.067    85  32.0
156.2 315.00  75.00   141.880   35.401   10.4    0.695    0.061    0.698    85  32.0
162.0 330.00  75.00   141.821   35.275   10.4    0.003    0.000    0.003    85  36.0
167.9 345.00  75.00   141.763   35.149   10.4    0.000    0.000    0.000     0  40.0
173.8 360.00  75.00   141.705   35.023   10.4    0.000    0.000    0.000     0  40.0
179.6 375.00  75.00   141.647   34.897   10.4    0.000    0.000    0.000     0  40.0
185.5 390.00  75.00   141.589   34.770   10.4    0.000    0.000    0.000     0  40.0
